,Description,Chromosome.Name,Gene.Start..bp.,Gene.End..bp.,Associated.Gene.Name,Gene.Biotype
ENSG00000176136,melanocortin 5 receptor [Source:HGNC Symbol;Acc:6933],18,13824154,13826861,MC5R,protein_coding
ENSG00000227336,long intergenic non-protein coding RNA 434 [Source:HGNC Symbol;Acc:42769],13,60788486,60789080,LINC00434,lincRNA
ENSG00000225249,long intergenic non-protein coding RNA 378 [Source:HGNC Symbol;Acc:42704],13,61259333,61268662,LINC00378,lincRNA
ENSG00000185231,melanocortin 2 receptor (adrenocorticotropic hormone) [Source:HGNC Symbol;Acc:6930],18,13882043,13915706,MC2R,protein_coding
ENSG00000233017,,20,61004604,61006568,RP5-908M14.5,lincRNA
ENSG00000103642,"lactamase, beta [Source:HGNC Symbol;Acc:16468]",15,63413999,63434260,LACTB,protein_coding
ENSG00000260542,,20,61088965,61091152,RP13-379O24.2,lincRNA
ENSG00000227510,,13,61491176,61494141,RP11-196P2.1,lincRNA
ENSG00000229578,long intergenic non-protein coding RNA 358 [Source:HGNC Symbol;Acc:42678],13,62578226,62603681,LINC00358,lincRNA
ENSG00000197299,"Bloom syndrome, RecQ helicase-like [Source:HGNC Symbol;Acc:1058]",15,91260558,91358859,BLM,protein_coding
ENSG00000230142,long intergenic non-protein coding RNA 1075 [Source:HGNC Symbol;Acc:49118],13,62798230,62824080,LINC01075,lincRNA
ENSG00000227611,long intergenic non-protein coding RNA 1074 [Source:HGNC Symbol;Acc:49117],13,62895438,62896531,LINC01074,lincRNA
ENSG00000229307,long intergenic non-protein coding RNA 459 [Source:HGNC Symbol;Acc:42808],13,62897790,62902966,LINC00459,lincRNA
ENSG00000264490,,20,61172797,61174714,WI2-87327B8.1,lincRNA
ENSG00000154719,mitochondrial ribosomal protein L39 [Source:HGNC Symbol;Acc:14027],21,26957968,26979829,MRPL39,protein_coding
ENSG00000267337,,18,41903401,42111662,CTC-782O7.1,lincRNA
ENSG00000228669,long intergenic non-protein coding RNA 448 [Source:HGNC Symbol;Acc:42785],13,63246418,63306492,LINC00448,lincRNA
ENSG00000267414,,18,42256892,42259682,RP11-456K23.1,lincRNA
ENSG00000227564,long intergenic non-protein coding RNA 376 [Source:HGNC Symbol;Acc:42701],13,63757234,63801189,LINC00376,lincRNA
ENSG00000175322,zinc finger protein 519 [Source:HGNC Symbol;Acc:30574],18,14057456,14132489,ZNF519,protein_coding
ENSG00000237687,long intergenic non-protein coding RNA 686 [Source:HGNC Symbol;Acc:16221],20,61326376,61331832,LINC00686,lincRNA
ENSG00000237378,,13,64322132,64325213,RP11-473M10.3,lincRNA
ENSG00000101160,cathepsin Z [Source:HGNC Symbol;Acc:2547],20,57570240,57582302,CTSZ,protein_coding
ENSG00000022277,replication termination factor 2 domain containing 1 [Source:HGNC Symbol;Acc:15890],20,55043647,55093943,RTFDC1,protein_coding
ENSG00000219926,,13,64402973,64418258,RP11-394A14.2,lincRNA
ENSG00000232118,BACH1 antisense RNA 1 [Source:HGNC Symbol;Acc:40008],21,30742340,30743547,BACH1-AS1,lincRNA
ENSG00000228817,BACH1 intronic transcript 2 (non-protein coding) [Source:HGNC Symbol;Acc:40007],21,30742944,30746029,BACH1-IT2,lincRNA
ENSG00000166145,"serine peptidase inhibitor, Kunitz type 1 [Source:HGNC Symbol;Acc:11246]",15,41136216,41150405,SPINT1,protein_coding
ENSG00000227674,long intergenic non-protein coding RNA 355 [Source:HGNC Symbol;Acc:27061],13,64560504,64650144,LINC00355,lincRNA
ENSG00000259548,,15,80124808,80125896,RP11-38G5.2,lincRNA
ENSG00000125514,long intergenic non-protein coding RNA 29 [Source:HGNC Symbol;Acc:16184],20,61665569,61668380,LINC00029,lincRNA
ENSG00000261229,,15,80135889,80136646,RP11-38G5.4,lincRNA
ENSG00000237119,long intergenic non-protein coding RNA 1056 [Source:HGNC Symbol;Acc:49050],20,61669363,61685215,LINC01056,lincRNA
ENSG00000231133,highly accelerated region 1B (non-protein coding) [Source:HGNC Symbol;Acc:33118],20,61726845,61733671,HAR1B,lincRNA
ENSG00000259981,,21,31462035,31470154,AF096876.1,lincRNA
ENSG00000227342,long intergenic non-protein coding RNA 307 [Source:HGNC Symbol;Acc:16727],21,31581469,31584101,LINC00307,lincRNA
ENSG00000225978,highly accelerated region 1A (non-protein coding) [Source:HGNC Symbol;Acc:33117],20,61733483,61735738,HAR1A,lincRNA
ENSG00000259967,,15,80458265,80459322,RP11-2E17.2,lincRNA
ENSG00000267167,,18,44383187,44383857,RP11-687F6.1,lincRNA
ENSG00000259417,,15,80487826,80544555,RP11-2E17.1,lincRNA
ENSG00000234767,long intergenic non-protein coding RNA 1052 [Source:HGNC Symbol;Acc:49046],13,66440306,66452351,LINC01052,lincRNA
ENSG00000260416,,20,61758847,61760811,RP5-963E22.5,lincRNA
ENSG00000231977,,20,61798149,61812255,RP5-963E22.4,lincRNA
ENSG00000088881,early B-cell factor 4 [Source:HGNC Symbol;Acc:29278],20,2673524,2740753,EBF4,protein_coding
ENSG00000259361,long intergenic non-protein coding RNA 927 [Source:HGNC Symbol;Acc:27522],15,80555410,80634147,LINC00927,lincRNA
ENSG00000230040,long intergenic non-protein coding RNA 364 [Source:HGNC Symbol;Acc:42686],13,67946519,67954108,LINC00364,lincRNA
ENSG00000101162,"tubulin, beta 1 class VI [Source:HGNC Symbol;Acc:16257]",20,57594309,57601709,TUBB1,protein_coding
ENSG00000140285,fibroblast growth factor 7 [Source:HGNC Symbol;Acc:3685],15,49715293,49780972,FGF7,protein_coding
ENSG00000183206,"POTE ankyrin domain family, member C [Source:HGNC Symbol;Acc:33894]",18,14507338,14543584,POTEC,protein_coding
ENSG00000227388,,9,35772160,35790429,RP11-112J3.16,lincRNA
ENSG00000246283,,15,43031316,43035400,CTD-2036P10.3,lincRNA
ENSG00000101457,"deoxynucleotidyltransferase, terminal, interacting protein 1 [Source:HGNC Symbol;Acc:16160]",20,44420576,44440066,DNTTIP1,protein_coding
ENSG00000266996,transcription elongation factor B polypeptide 3C-like 2 [Source:HGNC Symbol;Acc:33511],18,44542731,44544607,TCEB3CL2,protein_coding
ENSG00000154721,junctional adhesion molecule 2 [Source:HGNC Symbol;Acc:14686],21,27011584,27089874,JAM2,protein_coding
ENSG00000235387,long intergenic non-protein coding RNA 961 [Source:HGNC Symbol;Acc:27244],9,35909480,35911683,LINC00961,lincRNA
ENSG00000196421,long intergenic non-protein coding RNA 176 [Source:HGNC Symbol;Acc:27655],20,62665697,62671315,LINC00176,lincRNA
ENSG00000124172,"ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit [Source:HGNC Symbol;Acc:838]",20,57600522,57607437,ATP5E,protein_coding
ENSG00000234298,transcription elongation factor B polypeptide 3C-like [Source:HGNC Symbol;Acc:31007],18,44548658,44550534,TCEB3CL,protein_coding
ENSG00000267761,,18,44812096,45120914,CTD-2130O13.1,lincRNA
ENSG00000185088,ribosomal protein S27-like [Source:HGNC Symbol;Acc:18476],15,63418071,63450220,RPS27L,protein_coding
ENSG00000237534,long intergenic non-protein coding RNA 383 [Source:HGNC Symbol;Acc:42710],13,69796478,69866286,LINC00383,lincRNA
ENSG00000235221,long intergenic non-protein coding RNA 401 [Source:HGNC Symbol;Acc:42731],13,69885465,69896233,LINC00401,lincRNA
ENSG00000183791,transcription elongation factor B polypeptide 3C (elongin A3) [Source:HGNC Symbol;Acc:24617],18,44554573,44556449,TCEB3C,protein_coding
ENSG00000261307,,18,45027543,45084754,RP11-157P23.2,lincRNA
ENSG00000224961,,20,10733738,10734614,RP1-278O22.1,lincRNA
ENSG00000234900,,20,10733926,10745934,RP1-278O22.2,lincRNA
ENSG00000232900,,20,10855981,10889920,RP4-697P8.3,lincRNA
ENSG00000206181,transcription elongation factor B polypeptide 3B (elongin A2) [Source:HGNC Symbol;Acc:30771],18,44558943,44561988,TCEB3B,protein_coding
ENSG00000170122,forkhead box D4 [Source:HGNC Symbol;Acc:3805],9,116237,118417,FOXD4,protein_coding
ENSG00000230990,,20,11214818,11282173,RP4-734C18.1,lincRNA
ENSG00000226846,long intergenic non-protein coding RNA 348 [Source:HGNC Symbol;Acc:42658],13,71589273,71742549,LINC00348,lincRNA
ENSG00000260619,,15,81283145,81285599,RP11-775C24.3,lincRNA
ENSG00000232920,,9,37073528,37075789,RP11-465M18.1,lincRNA
ENSG00000260100,,9,37078810,37079773,RP11-220I1.5,lincRNA
ENSG00000261411,,20,11665792,11667971,RP11-268G13.1,lincRNA
ENSG00000228422,long intergenic non-protein coding RNA 687 [Source:HGNC Symbol;Acc:16194],20,11781111,11851363,LINC00687,lincRNA
ENSG00000233137,,9,37079893,37090398,RP11-220I1.1,lincRNA
ENSG00000166128,"RAB8B, member RAS oncogene family [Source:HGNC Symbol;Acc:30273]",15,63481668,63559981,RAB8B,protein_coding
ENSG00000235292,,20,12224543,12224944,RP4-796I8.1,lincRNA
ENSG00000230437,,20,12286261,12297133,RP11-102J14.1,lincRNA
ENSG00000175063,ubiquitin-conjugating enzyme E2C [Source:HGNC Symbol;Acc:15937],20,44441215,44445596,UBE2C,protein_coding
ENSG00000233048,,20,12845850,12933167,RP5-1069C8.2,lincRNA
ENSG00000124091,glucosaminyl (N-acetyl) transferase family member 7 [Source:HGNC Symbol;Acc:16099],20,55066548,55100981,GCNT7,protein_coding
ENSG00000234265,,20,12930986,12932275,RP11-157E14.1,lincRNA
ENSG00000101166,slowmo homolog 2 (Drosophila) [Source:HGNC Symbol;Acc:15892],20,57608200,57617964,SLMO2,protein_coding
ENSG00000224648,,9,37383175,37384431,RP11-397D12.4,lincRNA
ENSG00000167220,haloacid dehalogenase-like hydrolase domain containing 2 [Source:HGNC Symbol;Acc:25364],18,44633774,44676891,HDHD2,protein_coding
ENSG00000224853,long intergenic non-protein coding RNA 393 [Source:HGNC Symbol;Acc:42721],13,73987610,74222390,LINC00393,lincRNA
ENSG00000154723,"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit F6 [Source:HGNC Symbol;Acc:847]",21,27088815,27107984,ATP5J,protein_coding
ENSG00000228295,long intergenic non-protein coding RNA 392 [Source:HGNC Symbol;Acc:42720],13,74138381,74162207,LINC00392,lincRNA
ENSG00000235532,long intergenic non-protein coding RNA 402 [Source:HGNC Symbol;Acc:42732],13,74805594,74834113,LINC00402,lincRNA
ENSG00000171448,zinc finger and BTB domain containing 26 [Source:HGNC Symbol;Acc:23383],9,125677845,125693779,ZBTB26,protein_coding
ENSG00000259372,,15,81702858,81711358,CTD-2240J17.1,lincRNA
ENSG00000124103,"family with sequence similarity 209, member A [Source:HGNC Symbol;Acc:16100]",20,55092243,55101198,FAM209A,protein_coding
ENSG00000104047,DTW domain containing 1 [Source:HGNC Symbol;Acc:30926],15,49913177,49937333,DTWD1,protein_coding
ENSG00000259543,,15,81719789,82047558,CTD-2034I4.1,lincRNA
ENSG00000259594,,15,81846344,81989121,CTD-2034I4.2,lincRNA
ENSG00000088882,"carboxypeptidase X (M14 family), member 1 [Source:HGNC Symbol;Acc:15771]",20,2774715,2781283,CPXM1,protein_coding
ENSG00000259610,,15,81926228,81934531,RP11-499F3.1,lincRNA
ENSG00000236678,long intergenic non-protein coding RNA 347 [Source:HGNC Symbol;Acc:27890],13,75117975,75139582,LINC00347,lincRNA
ENSG00000213714,"family with sequence similarity 209, member B [Source:HGNC Symbol;Acc:16101]",20,55108302,55111576,FAM209B,protein_coding
ENSG00000259692,,15,81952823,82163466,RP11-499F3.2,lincRNA
ENSG00000223716,,9,38360424,38376427,RP11-113O24.3,lincRNA
ENSG00000259445,,15,82245644,82288007,RP11-276M12.1,lincRNA
ENSG00000104140,ras homolog family member V [Source:HGNC Symbol;Acc:18313],15,41164412,41166487,RHOV,protein_coding
ENSG00000223880,long intergenic non-protein coding RNA 1078 [Source:HGNC Symbol;Acc:49121],13,75824616,75826148,LINC01078,lincRNA
ENSG00000140564,furin (paired basic amino acid cleaving enzyme) [Source:HGNC Symbol;Acc:8568],15,91411822,91426688,FURIN,protein_coding
ENSG00000140157,non imprinted in Prader-Willi/Angelman syndrome 2 [Source:HGNC Symbol;Acc:17044],15,23004684,23034427,NIPA2,protein_coding
ENSG00000236985,,20,16838607,16844793,RP5-1195D24.1,lincRNA
ENSG00000267228,Immediate early response 3-interacting protein 1  [Source:UniProtKB/TrEMBL;Acc:R4GN61],18,44661027,44702652,IER3IP1,protein_coding
ENSG00000266905,,18,46489321,46490311,RP11-1058N17.1,lincRNA
ENSG00000261206,long intergenic non-protein coding RNA 561 [Source:HGNC Symbol;Acc:43705],13,76506531,76509268,LINC00561,lincRNA
ENSG00000154727,"GA binding protein transcription factor, alpha subunit 60kDa [Source:HGNC Symbol;Acc:4071]",21,27106881,27144771,GABPA,protein_coding
ENSG00000233625,,20,17868007,17868804,RP5-905G11.3,lincRNA
ENSG00000224933,long intergenic non-protein coding RNA 1034 [Source:HGNC Symbol;Acc:49021],13,76587159,76588637,LINC01034,lincRNA
ENSG00000087510,transcription factor AP-2 gamma (activating enhancer binding protein 2 gamma) [Source:HGNC Symbol;Acc:11744],20,55204358,55214339,TFAP2C,protein_coding
ENSG00000228467,,9,38804004,38851913,RP11-402N8.1,lincRNA
ENSG00000124203,zinc finger protein 831 [Source:HGNC Symbol;Acc:16167],20,57766075,57834168,ZNF831,protein_coding
ENSG00000101470,troponin C type 2 (fast) [Source:HGNC Symbol;Acc:11944],20,44451853,44462384,TNNC2,protein_coding
ENSG00000234509,,21,33025906,33031813,AP000253.1,lincRNA
ENSG00000104142,vacuolar protein sorting 18 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:15972],15,41186628,41196173,VPS18,protein_coding
ENSG00000138613,APH1B gamma secretase subunit [Source:HGNC Symbol;Acc:24080],15,63568217,63601325,APH1B,protein_coding
ENSG00000264464,,18,47025760,47028230,RP11-110H1.8,lincRNA
ENSG00000215112,"family with sequence similarity 74, member A5 [Source:HGNC Symbol;Acc:34035]",9,39371062,39376913,FAM74A5,lincRNA
ENSG00000224038,,9,39384503,39405302,RP11-347J14.8,lincRNA
ENSG00000267674,,18,47266193,47268433,RP11-813F20.2,lincRNA
ENSG00000011454,RAB GTPase activating protein 1 [Source:HGNC Symbol;Acc:17155],9,125703112,125867145,RABGAP1,protein_coding
ENSG00000231140,,9,39395734,39397403,RP11-347J14.7,lincRNA
ENSG00000134049,immediate early response 3 interacting protein 1 [Source:HGNC Symbol;Acc:18550],18,44681413,44702745,IER3IP1,protein_coding
ENSG00000230010,,20,18303196,18339944,RP4-568F9.6,lincRNA
ENSG00000225579,EDNRB antisense RNA 1 [Source:HGNC Symbol;Acc:49045],13,78402357,78408085,EDNRB-AS1,lincRNA
ENSG00000267695,,18,47828560,47839965,RP11-1030E3.1,lincRNA
ENSG00000124205,endothelin 3 [Source:HGNC Symbol;Acc:3178],20,57875482,57901047,EDN3,protein_coding
ENSG00000128917,delta-like 4 (Drosophila) [Source:HGNC Symbol;Acc:2910],15,41221538,41231237,DLL4,protein_coding
ENSG00000232388,long intergenic non-protein coding RNA 493 [Source:HGNC Symbol;Acc:43430],20,18548064,18550207,LINC00493,lincRNA
ENSG00000198326,transmembrane protein 239 [Source:HGNC Symbol;Acc:40044],20,2795614,2800930,TMEM239,protein_coding
ENSG00000225597,"family with sequence similarity 74, member A1 [Source:HGNC Symbol;Acc:32029]",9,39900346,39906219,FAM74A1,lincRNA
ENSG00000228534,,9,39925026,39926970,RP11-95H8.5,lincRNA
ENSG00000233379,,13,78513297,78519009,RP11-318G21.4,lincRNA
ENSG00000236133,long intergenic non-protein coding RNA 1069 [Source:HGNC Symbol;Acc:49109],13,78563507,78564781,LINC01069,lincRNA
ENSG00000241690,"CDNA FLJ26142 fis, clone TST04526; Transmembrane protein 239; Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:Q6ZPB1]",20,2795614,2798712,TMEM239,protein_coding
ENSG00000229249,long intergenic non-protein coding RNA 446 [Source:HGNC Symbol;Acc:42783],13,78587018,78627730,LINC00446,lincRNA
ENSG00000180777,ankyrin repeat domain 30B [Source:HGNC Symbol;Acc:24165],18,14728271,14852737,ANKRD30B,protein_coding
ENSG00000101144,bone morphogenetic protein 7 [Source:HGNC Symbol;Acc:1074],20,55743804,55841685,BMP7,protein_coding
ENSG00000235625,,13,78849855,78851649,RP11-203P2.2,lincRNA
ENSG00000179935,long intergenic non-protein coding RNA 652 [Source:HGNC Symbol;Acc:25003],20,18768295,18774979,LINC00652,lincRNA
ENSG00000215474,SKI family transcriptional corepressor 2 [Source:HGNC Symbol;Acc:32695],18,44746293,44775554,SKOR2,protein_coding
ENSG00000258713,chromosome 20 open reading frame 141 [Source:HGNC Symbol;Acc:16134],20,2795633,2796479,C20orf141,protein_coding
ENSG00000236717,,9,94912664,94919727,RP11-100G15.10,lincRNA
ENSG00000188394,G protein-coupled receptor 21 [Source:HGNC Symbol;Acc:4476],9,125796806,125797975,GPR21,protein_coding
ENSG00000172785,COBW domain containing 1 [Source:HGNC Symbol;Acc:17134],9,121041,188979,CBWD1,protein_coding
ENSG00000225427,long intergenic non-protein coding RNA 331 [Source:HGNC Symbol;Acc:42048],13,79361454,79366442,LINC00331,lincRNA
ENSG00000235283,,9,40704468,40713709,RP11-395E19.5,lincRNA
ENSG00000204844,"family with sequence similarity 74, member A3 [Source:HGNC Symbol;Acc:32031]",9,40715662,40722679,FAM74A3,lincRNA
ENSG00000236361,,9,40740776,40742447,RP11-395E19.7,lincRNA
ENSG00000233895,,20,19738352,19790319,RP1-122P22.2,lincRNA
ENSG00000230323,long intergenic non-protein coding RNA 159 [Source:HGNC Symbol;Acc:1285],21,33452629,33570125,LINC00159,lincRNA
ENSG00000259499,,15,44679518,44682649,RP11-616K22.2,lincRNA
ENSG00000261610,,21,33632115,33633896,AP000265.1,lincRNA
ENSG00000223781,,9,41277733,41298538,RP11-95K23.6,lincRNA
ENSG00000227676,long intergenic non-protein coding RNA 1068 [Source:HGNC Symbol;Acc:49106],13,80140881,80144983,LINC01068,lincRNA
ENSG00000229011,long intergenic non-protein coding RNA 1038 [Source:HGNC Symbol;Acc:49026],13,80378553,80379820,LINC01038,lincRNA
ENSG00000186842,long intergenic non-protein coding RNA 846 [Source:HGNC Symbol;Acc:16080],21,33944548,33948191,LINC00846,lincRNA
ENSG00000229175,long intergenic non-protein coding RNA 382 [Source:HGNC Symbol;Acc:42709],13,80446721,80492079,LINC00382,lincRNA
ENSG00000234104,,20,20951089,20953203,RP5-1177M21.1,lincRNA
ENSG00000231757,"family with sequence similarity 74, member A2 [Source:HGNC Symbol;Acc:32030]",9,41306133,41311985,FAM74A2,lincRNA
ENSG00000132635,PC-esterase domain containing 1A [Source:HGNC Symbol;Acc:16212],20,2815960,2821836,PCED1A,protein_coding
ENSG00000179523,EIF3J antisense RNA 1 (head to head) [Source:HGNC Symbol;Acc:48616],15,44819455,44829121,EIF3J-AS1,lincRNA
ENSG00000225127,long intergenic non-protein coding RNA 237 [Source:HGNC Symbol;Acc:38166],20,21068245,21086999,LINC00237,lincRNA
ENSG00000234407,"family with sequence similarity 74, member A6 [Source:HGNC Symbol;Acc:34036]",9,41516046,41523018,FAM74A6,lincRNA
ENSG00000229246,,13,81617805,81618577,RP11-521J24.1,lincRNA
ENSG00000227084,,9,41529583,41550381,RP11-144A16.5,lincRNA
ENSG00000260094,long intergenic non-protein coding RNA 564 [Source:HGNC Symbol;Acc:43708],13,81800000,81801118,LINC00564,lincRNA
ENSG00000229309,,13,81824573,81876542,RP11-452B18.2,lincRNA
ENSG00000228961,,21,34331196,34332874,AP000282.3,lincRNA
ENSG00000175387,SMAD family member 2 [Source:HGNC Symbol;Acc:6768],18,45357922,45457515,SMAD2,protein_coding
ENSG00000233349,long intergenic non-protein coding RNA 333 [Source:HGNC Symbol;Acc:42050],13,85136499,85137371,LINC00333,lincRNA
ENSG00000204837,,9,41961615,42019580,RP11-204M4.2,lincRNA
ENSG00000226370,long intergenic non-protein coding RNA 375 [Source:HGNC Symbol;Acc:42699],13,85639222,85653055,LINC00375,lincRNA
ENSG00000226317,long intergenic non-protein coding RNA 351 [Source:HGNC Symbol;Acc:42669],13,85937736,86118705,LINC00351,lincRNA
ENSG00000104043,"ATPase, class I, type 8B, member 4 [Source:HGNC Symbol;Acc:13536]",15,50150435,50475014,ATP8B4,protein_coding
ENSG00000232252,,13,86634948,86745025,RP11-30L8.1,lincRNA
ENSG00000165209,spermatid perinuclear RNA binding protein [Source:HGNC Symbol;Acc:16462],9,125871779,126030855,STRBP,protein_coding
ENSG00000182511,feline sarcoma oncogene [Source:HGNC Symbol;Acc:3657],15,91426925,91439006,FES,protein_coding
ENSG00000170113,non imprinted in Prader-Willi/Angelman syndrome 1 [Source:HGNC Symbol;Acc:17043],15,23043277,23100005,NIPA1,protein_coding
ENSG00000228136,,9,42275939,42298165,RP11-216M21.5,lincRNA
ENSG00000233528,long intergenic non-protein coding RNA 430 [Source:HGNC Symbol;Acc:42765],13,87564173,87589271,LINC00430,lincRNA
ENSG00000054796,SPO11 meiotic protein covalently bound to DSB [Source:HGNC Symbol;Acc:11250],20,55904815,55919050,SPO11,protein_coding
ENSG00000232636,,13,88079455,88099490,RP11-342C20.2,lincRNA
ENSG00000228824,MIR4500 host gene (non-protein coding) [Source:HGNC Symbol;Acc:42773],13,88079469,88323514,MIR4500HG,lincRNA
ENSG00000074410,carbonic anhydrase XII [Source:HGNC Symbol;Acc:1371],15,63613577,63674360,CA12,protein_coding
ENSG00000223404,long intergenic non-protein coding RNA 397 [Source:HGNC Symbol;Acc:42725],13,88453291,88456063,LINC00397,lincRNA
